LOC,GENO,TAXA,range,row,BLOCK,Y,M,h1,h2,h3,h4
12EF,PRE0064,PI152736,12,1,1,5.583562433,0.751986069,0.199,1.25,2.25,2.7
12EF,MA56,PI508367,12,2,1,NA,NA,0.202,1.45,2.2,3
12EF,PRE1156,PI330098,12,3,1,16.44215986,0.629962363,0.201,1.85,3,3.8
12EF,PRE0259,PI152633,12,4,1,6.952637291,0.511025031,0.173,2.3,2.6,2.9
12EF,PRE0051,PI152611,12,5,1,7.891176963,0.795083598,0.251,1.3,2.15,2.95
12EF,PRE1019,PI329836,12,6,1,10.53725211,0.774862118,0.263,1.2,2.2,2.95
12EF,PRE0566,NSL52006,12,7,1,5.583093425,0.764406556,0.342,1.25,2.35,2.9
12EF,PRE0553,PI660566,12,8,1,6.542016797,0.730675356,0.267,1.5,2.4,3.25
12EF,CHRSS2,commercial hybrid,12,9,1,19.1599486,0.53130152,0.306,1.9,2.6,4
12EF,PRE0199,PI248317,12,10,1,6.849103563,0.72474657,0.245,1.55,2.6,2.95
12EF,PRE0135,PI276786,12,11,1,10.76631396,0.720422653,0.309,1.9,3.25,4.55
12EF,ZMA_5376,PI505740,12,12,1,6.070228164,0.723081744,0.223,1.45,2.6,3.5
12EF,PRE1040,PI330897,12,13,2,7.842908436,0.692137363,0.261,1.5,2.4,3.15
12EF,PRE0191,PI246716,12,14,2,11.59451032,0.522672066,0.286,1.9,2.7,3.2
12EF,PRE0135,PI276786,12,15,2,9.354887709,0.702072217,0.314,1.75,2.85,4.3
12EF,PRE0396,NSL54147,12,16,2,6.789016311,0.745350613,0.194,1.1,2.2,2.95
12EF,PRE0418,NSL54297,12,17,2,NA,NA,0.183,1,1.6,1.95
12EF,PRE0020,PI147939,12,18,2,5.924464011,0.750001519,0.27,1.2,2.2,2.7
12EF,Kalaicou,PI506078,12,19,2,7.0206214,0.688153946,0.188,1.1,2.15,2.7
12EF,PRE0028,PI148089,12,20,2,16.29837595,0.6943319,0.262,1.6,2.7,3.8
